,TotalReads,SecondaryAlignment,Supplementary,Duplicate,Mapped,Paired,Read1,Read2,ProperPair,MateMapped,Singletons,MateMappedToDiffChrom,MateMappedToDiffChromMapq>=5,DuplicationRate,OnTarget-All,OnTarget-DeDuplicated,Mapped-Deduplicated
S55,11987166,0,0,7576064,9396434,11987166,5993583,5993583,8990806,9392142,4292,331508,137224,0.8062701233255084,3014370,300339,1820370
S56,9679740,0,0,6352653,7935141,9679740,4839870,4839870,7586398,7930652,4489,289372,117018,0.8005721637460507,2533487,275450,1582488
S57,12909440,0,0,8400717,10357589,12909440,6454720,6454720,9922624,10352446,5143,358282,148709,0.8110687728582395,3120129,322042,1956872
S58,12910666,0,0,8252499,10334690,12910666,6455333,6455333,9898660,10329666,5024,362608,148473,0.7985240969975878,3171454,349018,2082191
S59,14907114,0,0,9963626,12021777,14907114,7453557,7453557,11561132,12015858,5919,368310,153206,0.8287981053050643,3489678,337635,2058151
S60,12933376,0,0,8189241,10204736,12933376,6466688,6466688,9825440,10199986,4750,309656,127507,0.8024941556547862,2968724,338399,2015495
S61,10134522,0,0,6293180,7952246,10134522,5067261,5067261,7630930,7947966,4280,267850,109308,0.7913713936917948,2452617,286937,1659066
S62,8787448,0,0,5091276,7121964,8787448,4393724,4393724,6773686,7118190,3774,290424,124577,0.7148696623571813,2186663,433754,2030688
S63,12956010,0,0,7286909,10574016,12956010,6478005,6478005,10153492,10568782,5234,361250,151678,0.6891335326142877,3446840,793405,3287107
S64,11433908,0,0,6758771,9312463,11433908,5716954,5716954,8876510,9308290,4173,370370,154591,0.7257769507379519,3065162,572935,2553692
S54,11337422,0,0,7205040,9111677,11337422,5668711,5668711,8788072,9107568,4109,270086,109417,0.790747960007801,3064882,372862,1906637
S66,11413552,0,0,6491932,9353634,11413552,5706776,5706776,8926058,9348798,4836,362098,151214,0.6940545246906176,3039976,672261,2861702
S67,14513160,0,0,8411078,11822677,14513160,7256580,7256580,11320764,11817316,5361,435286,180468,0.7114359971096225,3732434,764268,3411599
S68,15009030,0,0,8910786,12244414,15009030,7504515,7504515,11730190,12239094,5320,438922,184218,0.7277429528273056,3887107,743628,3333628
S69,17893758,0,0,10661879,14365874,17893758,8946879,8946879,13790464,14359798,6076,482586,202165,0.7421670968296116,4323691,775210,3703995
S70,12846054,0,0,7624722,10439850,12846054,6423027,6423027,9994722,10435190,4660,376300,158600,0.7303478498254286,3308134,623882,2815128
S71,7541596,0,0,4074575,6032673,7541596,3770798,3770798,5780324,6029484,3189,205704,86339,0.6754178454559032,1993602,480128,1958098
S72,13925158,0,0,8512644,11527061,13925158,6962579,6962579,11045856,11521112,5949,403706,170974,0.7384921447019323,3488734,655661,3014417
